"full_name","constituency","party","profile_url","dail_term","dail_period","number_of_seats","term_number"
"Joe Higgins","Dublin West","Socialist Party","/en/members/member/Joe-Higgins.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Phil Hogan","Carlow-Kilkenny","Fine Gael","/en/members/member/Phil-Hogan.S.1987-04-25/","31st Dáil","(2011 - 2016)","166",31
"Brendan Howlin","Wexford","Labour Party","/en/members/member/Brendan-Howlin.S.1983-02-23/","31st Dáil","(2011 - 2016)","166",31
"Heather Humphreys","Cavan-Monaghan","Fine Gael","/en/members/member/Heather-Humphreys.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Kevin Humphreys","Dublin South-East","Labour Party","/en/members/member/Kevin-Humphreys.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Derek Keating","Dublin Mid-West","Fine Gael","/en/members/member/Derek-Keating.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Colm Keaveney","Galway East","Fianna Fáil","/en/members/member/Colm-Keaveney.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Paul Kehoe","Wexford","Fine Gael","/en/members/member/Paul-Kehoe.D.2002-06-06/","31st Dáil","(2011 - 2016)","166",31
"Billy Kelleher","Cork North-Central","Fianna Fáil","/en/members/member/Billy-Kelleher.S.1993-02-17/","31st Dáil","(2011 - 2016)","166",31
"Alan Kelly","Tipperary North","Labour Party","/en/members/member/Alan-Kelly.S.2007-07-23/","31st Dáil","(2011 - 2016)","166",31
"Enda Kenny","Mayo","Fine Gael","/en/members/member/Enda-Kenny.D.1975-11-12/","31st Dáil","(2011 - 2016)","166",31
"Seán Kenny","Dublin North-East","Labour Party","/en/members/member/Seán-Kenny.D.1992-12-14/","31st Dáil","(2011 - 2016)","166",31
"Seamus Kirk","Louth","Fianna Fáil","/en/members/member/Seamus-Kirk.D.1982-12-14/","31st Dáil","(2011 - 2016)","166",31
"Michael P. Kitt","Galway East","Fianna Fáil","/en/members/member/Michael-P-Kitt.D.1975-03-04/","31st Dáil","(2011 - 2016)","166",31
"Seán Kyne","Galway West","Fine Gael","/en/members/member/Seán-Kyne.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Anthony Lawlor","Kildare North","Fine Gael","/en/members/member/Anthony-Lawlor.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Brian Lenihan","Dublin West","Fianna Fáil","/en/members/member/Brian-Lenihan.D.1996-04-02/","31st Dáil","(2011 - 2016)","166",31
"Michael Lowry","Tipperary North","Independent","/en/members/member/Michael-Lowry.D.1987-03-10/","31st Dáil","(2011 - 2016)","166",31
"Ciaran Lynch","Cork South-Central","Labour Party","/en/members/member/Ciaran-Lynch.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Kathleen Lynch","Cork North-Central","Labour Party","/en/members/member/Kathleen-Lynch.D.1994-11-10/","31st Dáil","(2011 - 2016)","166",31
"John Lyons","Dublin North-West","Labour Party","/en/members/member/John-Lyons.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Pádraig Mac Lochlainn","Donegal North-East","Sinn Féin","/en/members/member/Pádraig-MacLochlainn.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Eamonn Maloney","Dublin South-West","Independent","/en/members/member/Eamonn-Maloney.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Micheál Martin","Cork South-Central","Fianna Fáil","/en/members/member/Micheál-Martin.D.1989-06-29/","31st Dáil","(2011 - 2016)","166",31
"Peter Mathews","Dublin South","Independent","/en/members/member/Peter-Mathews.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Michael McCarthy","Cork South-West","Labour Party","/en/members/member/Michael-McCarthy.S.2002-09-12/","31st Dáil","(2011 - 2016)","166",31
"Charlie McConalogue","Donegal North-East","Fianna Fáil","/en/members/member/Charlie-McConalogue.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Mary Lou McDonald","Dublin Central","Sinn Féin","/en/members/member/Mary-Lou-McDonald.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Helen McEntee","Meath East","Fine Gael","/en/members/member/Helen-McEntee.D.2013-03-27/","31st Dáil","(2011 - 2016)","166",31
"Shane McEntee","Meath East","Fine Gael","/en/members/member/Shane-McEntee.D.2005-03-11/","31st Dáil","(2011 - 2016)","166",31
"Gabrielle McFadden","Longford-Westmeath","Fine Gael","/en/members/member/Gabrielle-McFadden.D.2014-05-23/","31st Dáil","(2011 - 2016)","166",31
"Nicky McFadden","Longford-Westmeath","Fine Gael","/en/members/member/Nicky-McFadden.S.2007-07-23/","31st Dáil","(2011 - 2016)","166",31
"Dinny McGinley","Donegal South-West","Fine Gael","/en/members/member/Dinny-McGinley.D.1982-03-09/","31st Dáil","(2011 - 2016)","166",31
"Finian McGrath","Dublin North-Central","Independent","/en/members/member/Finian-McGrath.D.2002-06-06/","31st Dáil","(2011 - 2016)","166",31
"Mattie McGrath","Tipperary South","Independent","/en/members/member/Mattie-McGrath.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Michael McGrath","Cork South-Central","Fianna Fáil","/en/members/member/Michael-McGrath.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"John McGuinness","Carlow-Kilkenny","Fianna Fáil","/en/members/member/John-McGuinness.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Joe McHugh","Donegal North-East","Fine Gael","/en/members/member/Joe-McHugh.S.2002-09-12/","31st Dáil","(2011 - 2016)","166",31
"Sandra McLellan","Cork East","Sinn Féin","/en/members/member/Sandra-McLellan.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Tony McLoughlin","Sligo-North Leitrim","Fine Gael","/en/members/member/Tony-McLoughlin.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Michael McNamara","Clare","Labour Party","/en/members/member/Michael-McNamara.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Olivia Mitchell","Dublin South","Fine Gael","/en/members/member/Olivia-Mitchell.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Mary Mitchell O'Connor","Dún Laoghaire","Fine Gael","/en/members/member/Mary-Mitchell-O'Connor.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Michael Moynihan","Cork North-West","Fianna Fáil","/en/members/member/Michael-Moynihan.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Michelle Mulherin","Mayo","Fine Gael","/en/members/member/Michelle-Mulherin.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Catherine Murphy","Kildare North","Social Democrats","/en/members/member/Catherine-Murphy.D.2005-03-11/","31st Dáil","(2011 - 2016)","166",31
"Dara Murphy","Cork North-Central","Fine Gael","/en/members/member/Dara-Murphy.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Eoghan Murphy","Dublin South-East","Fine Gael","/en/members/member/Eoghan-Murphy.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Paul Murphy","Dublin South-West","Anti-Austerity Alliance - People Before Profit","/en/members/member/Paul-Murphy.D.2014-10-10/","31st Dáil","(2011 - 2016)","166",31
"Ged Nash","Louth","Labour Party","/en/members/member/Gerald-Nash.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Denis Naughten","Roscommon-South-Leitrim","Independent","/en/members/member/Denis-Naughten.S.1997-01-28/","31st Dáil","(2011 - 2016)","166",31
"Dan Neville","Limerick","Fine Gael","/en/members/member/Dan-Neville.S.1989-10-01/","31st Dáil","(2011 - 2016)","166",31
"Derek Nolan","Galway West","Labour Party","/en/members/member/Derek-Nolan.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Michael Noonan","Limerick City","Fine Gael","/en/members/member/Michael-Noonan.D.1981-06-30/","31st Dáil","(2011 - 2016)","166",31
"Patrick Nulty","Dublin West","Independent","/en/members/member/Patrick-Nulty.D.2011-10-27/","31st Dáil","(2011 - 2016)","166",31
"Jonathan O'Brien","Cork North-Central","Sinn Féin","/en/members/member/Jonathan-O'Brien.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Willie O'Dea","Limerick City","Fianna Fáil","/en/members/member/Willie-O'Dea.D.1982-03-09/","31st Dáil","(2011 - 2016)","166",31
"Kieran O'Donnell","Limerick City","Fine Gael","/en/members/member/Kieran-O'Donnell.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Patrick O'Donovan","Limerick","Fine Gael","/en/members/member/Patrick-O'Donovan.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Fergus O'Dowd","Louth","Fine Gael","/en/members/member/Fergus-O'Dowd.S.1997-09-17/","31st Dáil","(2011 - 2016)","166",31
"John O'Mahony","Mayo","Fine Gael","/en/members/member/John-O'Mahony.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Joe O'Reilly","Cavan-Monaghan","Fine Gael","/en/members/member/Joe-O'Reilly.S.1989-10-01/","31st Dáil","(2011 - 2016)","166",31
"Jan O'Sullivan","Limerick City","Labour Party","/en/members/member/Jan-O'Sullivan.S.1993-02-17/","31st Dáil","(2011 - 2016)","166",31
"Maureen O'Sullivan","Dublin Central","Independent","/en/members/member/Maureen-O'Sullivan.D.2009-06-05/","31st Dáil","(2011 - 2016)","166",31
"Willie Penrose","Longford-Westmeath","Labour Party","/en/members/member/Willie-Penrose.D.1992-12-14/","31st Dáil","(2011 - 2016)","166",31
"John Perry","Sligo-North Leitrim","Fine Gael","/en/members/member/John-Perry.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Ann Phelan","Carlow-Kilkenny","Labour Party","/en/members/member/Ann-Phelan.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"John Paul Phelan","Carlow-Kilkenny","Fine Gael","/en/members/member/John-Paul-Phelan.S.2002-09-12/","31st Dáil","(2011 - 2016)","166",31
"Thomas Pringle","Donegal South-West","Independent","/en/members/member/Thomas-Pringle.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Ruairí Quinn","Dublin South-East","Labour Party","/en/members/member/Ruairí-Quinn.S.1976-07-01/","31st Dáil","(2011 - 2016)","166",31
"Pat Rabbitte","Dublin South-West","Labour Party","/en/members/member/Pat-Rabbitte.D.1989-06-29/","31st Dáil","(2011 - 2016)","166",31
"James Reilly","Dublin North","Fine Gael","/en/members/member/James-Reilly.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Michael Ring","Mayo","Fine Gael","/en/members/member/Michael-Ring.D.1994-06-09/","31st Dáil","(2011 - 2016)","166",31
"Shane Ross","Dublin South","Independent","/en/members/member/Shane-PN-Ross.S.1981-10-08/","31st Dáil","(2011 - 2016)","166",31
"Brendan Ryan","Dublin North","Labour Party","/en/members/member/Brendan-Ryan.S.2007-07-23/","31st Dáil","(2011 - 2016)","166",31
"Alan Shatter","Dublin South","Fine Gael","/en/members/member/Alan-Shatter.D.1981-06-30/","31st Dáil","(2011 - 2016)","166",31
"Seán Sherlock","Cork East","Labour Party","/en/members/member/Seán-Sherlock.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Róisín Shortall","Dublin North-West","Social Democrats","/en/members/member/Róisín-Shortall.D.1992-12-14/","31st Dáil","(2011 - 2016)","166",31
"Brendan Smith","Cavan-Monaghan","Fianna Fáil","/en/members/member/Brendan-Smith.D.1992-12-14/","31st Dáil","(2011 - 2016)","166",31
"Arthur Spring","Kerry North-West Limerick","Labour Party","/en/members/member/Arthur-Spring.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Emmet Stagg","Kildare North","Labour Party","/en/members/member/Emmet-Stagg.D.1987-03-10/","31st Dáil","(2011 - 2016)","166",31
"Brian Stanley","Laois-Offaly","Sinn Féin","/en/members/member/Brian-Stanley.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"David Stanton","Cork East","Fine Gael","/en/members/member/David-Stanton.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Billy Timmins","Wicklow","Renua","/en/members/member/Billy-Timmins.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Robert Troy","Longford-Westmeath","Fianna Fáil","/en/members/member/Robert-Troy.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Joanna Tuffy","Dublin Mid-West","Labour Party","/en/members/member/Joanna-Tuffy.S.2002-09-12/","31st Dáil","(2011 - 2016)","166",31
"Liam Twomey","Wexford","Fine Gael","/en/members/member/Liam-Twomey.D.2002-06-06/","31st Dáil","(2011 - 2016)","166",31
"Peadar Tóibín","Meath West","Sinn Féin","/en/members/member/Peadar-Tóibín.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Leo Varadkar","Dublin West","Fine Gael","/en/members/member/Leo-Varadkar.D.2007-06-14/","31st Dáil","(2011 - 2016)","166",31
"Jack Wall","Kildare South","Labour Party","/en/members/member/Jack-Wall.S.1993-02-17/","31st Dáil","(2011 - 2016)","166",31
"Mick Wallace","Wexford","Independent","/en/members/member/Mick-Wallace.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Brian Walsh","Galway West","Fine Gael","/en/members/member/Brian-Walsh.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Alex White","Dublin South","Labour Party","/en/members/member/Alex-White.S.2007-07-23/","31st Dáil","(2011 - 2016)","166",31
"Caoimhghín Ó Caoláin","Cavan-Monaghan","Sinn Féin","/en/members/member/Caoimhghín-Ó-Caoláin.D.1997-06-26/","31st Dáil","(2011 - 2016)","166",31
"Éamon Ó Cuív","Galway West","Fianna Fáil","/en/members/member/Éamon-Ó-Cuív.S.1989-10-01/","31st Dáil","(2011 - 2016)","166",31
"Seán Ó Fearghaíl","Kildare South","Fianna Fáil","/en/members/member/Seán-Ó-Fearghaíl.S.2000-06-09/","31st Dáil","(2011 - 2016)","166",31
"Aodhán Ó Ríordáin","Dublin North-Central","Labour Party","/en/members/member/Aodhán-Ó-Ríordáin.D.2011-03-09/","31st Dáil","(2011 - 2016)","166",31
"Aengus Ó Snodaigh","Dublin South-Central","Sinn Féin","/en/members/member/Aengus-Ó-Snodaigh.D.2002-06-06/","31st Dáil","(2011 - 2016)","166",31
"Gerry Adams","Louth","Sinn Féin","/en/members/member/Gerry-Adams.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Bobby Aylward","Carlow-Kilkenny","Fianna Fáil","/en/members/member/Bobby-Aylward.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Maria Bailey","Dún Laoghaire","Fine Gael","/en/members/member/Maria-Bailey.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Seán Barrett","Dún Laoghaire","Fine Gael","/en/members/member/Seán-Barrett.D.1981-06-30/","32nd Dáil","(2016 - 2020)","158",32
"Mick Barry","Cork North-Central","Solidarity - People Before Profit","/en/members/member/Mick-Barry.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Richard Boyd Barrett","Dún Laoghaire","Solidarity - People Before Profit","/en/members/member/Richard-Boyd-Barrett.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"John Brady","Wicklow","Sinn Féin","/en/members/member/John-Brady.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"John Brassil","Kerry","Fianna Fáil","/en/members/member/John-Brassil.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Declan Breathnach","Louth","Fianna Fáil","/en/members/member/Declan-Breathnach.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Pat Breen","Clare","Fine Gael","/en/members/member/Pat-Breen.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Colm Brophy","Dublin South-West","Fine Gael","/en/members/member/Colm-Brophy.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Thomas P. Broughan","Dublin Bay North","Independent","/en/members/member/Thomas-P-Broughan.D.1992-12-14/","32nd Dáil","(2016 - 2020)","158",32
"James Browne","Wexford","Fianna Fáil","/en/members/member/James-Browne.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Richard Bruton","Dublin Bay North","Fine Gael","/en/members/member/Richard-Bruton.S.1981-10-08/","32nd Dáil","(2016 - 2020)","158",32
"Pat Buckley","Cork East","Sinn Féin","/en/members/member/Pat-Buckley.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Peter Burke","Longford-Westmeath","Fine Gael","/en/members/member/Peter-Burke.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Joan Burton","Dublin West","Labour Party","/en/members/member/Joan-Burton.D.1992-12-14/","32nd Dáil","(2016 - 2020)","158",32
"Mary Butler","Waterford","Fianna Fáil","/en/members/member/Mary-Butler.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Catherine Byrne","Dublin South-Central","Fine Gael","/en/members/member/Catherine-Byrne.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Malcolm Byrne","Wexford","Fianna Fáil","/en/members/member/Malcolm-Byrne.D.2019-11-29/","32nd Dáil","(2016 - 2020)","158",32
"Thomas Byrne","Meath East","Fianna Fáil","/en/members/member/Thomas-Byrne.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Jackie Cahill","Tipperary","Fianna Fáil","/en/members/member/Jackie-Cahill.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Dara Calleary","Mayo","Fianna Fáil","/en/members/member/Dara-Calleary.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Seán Canney","Galway East","Independent","/en/members/member/Seán-Canney.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Ciarán Cannon","Galway East","Fine Gael","/en/members/member/Ciaran-Cannon.S.2007-07-23/","32nd Dáil","(2016 - 2020)","158",32
"Joe Carey","Clare","Fine Gael","/en/members/member/Joe-Carey.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Pat Casey","Wicklow","Fianna Fáil","/en/members/member/Pat-Casey.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Shane Cassells","Meath West","Fianna Fáil","/en/members/member/Shane-Cassells.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Jack Chambers","Dublin West","Fianna Fáil","/en/members/member/Jack-Chambers.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Lisa Chambers","Mayo","Fianna Fáil","/en/members/member/Lisa-Chambers.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Joan Collins","Dublin South-Central","Independents 4 Change","/en/members/member/Joan-Collins.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Michael Collins","Cork South-West","Independent","/en/members/member/Michael-Collins.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Niall Collins","Limerick County","Fianna Fáil","/en/members/member/Niall-Collins.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Catherine Connolly","Galway West","Independents 4 Change","/en/members/member/Catherine-Connolly.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Ruth Coppinger","Dublin West","Solidarity - People Before Profit","/en/members/member/Ruth-Coppinger.D.2014-05-23/","32nd Dáil","(2016 - 2020)","158",32
"Marcella Corcoran Kennedy","Offaly","Fine Gael","/en/members/member/Marcella-Corcoran-Kennedy.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Simon Coveney","Cork South-Central","Fine Gael","/en/members/member/Simon-Coveney.D.1998-10-23/","32nd Dáil","(2016 - 2020)","158",32
"Barry Cowen","Offaly","Fianna Fáil","/en/members/member/Barry-Cowen.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Michael Creed","Cork North-West","Fine Gael","/en/members/member/Michael-Creed.D.1989-06-29/","32nd Dáil","(2016 - 2020)","158",32
"Seán Crowe","Dublin South-West","Sinn Féin","/en/members/member/Seán-Crowe.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"David Cullinane","Waterford","Sinn Féin","/en/members/member/David-Cullinane.S.2011-05-25/","32nd Dáil","(2016 - 2020)","158",32
"John Curran","Dublin Mid-West","Fianna Fáil","/en/members/member/John-Curran.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Michael D'Arcy","Wexford","Fine Gael","/en/members/member/Michael-D'Arcy.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Clare Daly","Dublin Fingal","Independents 4 Change","/en/members/member/Clare-Daly.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Jim Daly","Cork South-West","Fine Gael","/en/members/member/Jim-Daly.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"John Deasy","Waterford","Fine Gael","/en/members/member/John-Deasy.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Pat Deering","Carlow-Kilkenny","Fine Gael","/en/members/member/Patrick-Deering.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Pearse Doherty","Donegal","Sinn Féin","/en/members/member/Pearse-Doherty.S.2007-07-23/","32nd Dáil","(2016 - 2020)","158",32
"Regina Doherty","Meath East","Fine Gael","/en/members/member/Regina-Doherty.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Stephen Donnelly","Wicklow","Fianna Fáil","/en/members/member/Stephen-Donnelly.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Paschal Donohoe","Dublin Central","Fine Gael","/en/members/member/Paschal-Donohoe.S.2007-07-23/","32nd Dáil","(2016 - 2020)","158",32
"Timmy Dooley","Clare","Fianna Fáil","/en/members/member/Timmy-Dooley.S.2002-09-12/","32nd Dáil","(2016 - 2020)","158",32
"Andrew Doyle","Wicklow","Fine Gael","/en/members/member/Andrew-Doyle.D.2007-06-14/","32nd Dáil","(2016 - 2020)","158",32
"Bernard Durkan","Kildare North","Fine Gael","/en/members/member/Bernard-Durkan.D.1981-06-30/","32nd Dáil","(2016 - 2020)","158",32
"Dessie Ellis","Dublin North-West","Sinn Féin","/en/members/member/Dessie-Ellis.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Damien English","Meath West","Fine Gael","/en/members/member/Damien-English.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Alan Farrell","Dublin Fingal","Fine Gael","/en/members/member/Alan-Farrell.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Martin Ferris","Kerry","Sinn Féin","/en/members/member/Martin-Ferris.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Frances Fitzgerald","Dublin Mid-West","Fine Gael","/en/members/member/Frances-Fitzgerald.D.1992-12-14/","32nd Dáil","(2016 - 2020)","158",32
"Michael Fitzmaurice","Roscommon-Galway","Independent","/en/members/member/Michael-Fitzmaurice.D.2014-10-10/","32nd Dáil","(2016 - 2020)","158",32
"Peter Fitzpatrick","Louth","Independent","/en/members/member/Peter-Fitzpatrick.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Charles Flanagan","Laois","Fine Gael","/en/members/member/Charles-Flanagan.D.1987-03-10/","32nd Dáil","(2016 - 2020)","158",32
"Sean Fleming","Laois","Fianna Fáil","/en/members/member/Seán-Fleming.D.1997-06-26/","32nd Dáil","(2016 - 2020)","158",32
"Kathleen Funchion","Carlow-Kilkenny","Sinn Féin","/en/members/member/Kathleen-Funchion.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Pat the Cope Gallagher","Donegal","Fianna Fáil","/en/members/member/Pat-the-Cope-Gallagher.D.1981-06-30/","32nd Dáil","(2016 - 2020)","158",32
"Noel Grealish","Galway West","Independent","/en/members/member/Noel-Grealish.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Brendan Griffin","Kerry","Fine Gael","/en/members/member/Brendan-Griffin.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"John Halligan","Waterford","Independent","/en/members/member/John-Halligan.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Simon Harris","Wicklow","Fine Gael","/en/members/member/Simon-Harris.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Michael Harty","Clare","Independent","/en/members/member/Michael-Harty.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Seán Haughey","Dublin Bay North","Fianna Fáil","/en/members/member/Seán-Haughey.S.1987-04-25/","32nd Dáil","(2016 - 2020)","158",32
"Seamus Healy","Tipperary","Independent","/en/members/member/Seamus-Healy.D.2000-06-22/","32nd Dáil","(2016 - 2020)","158",32
"Danny Healy-Rae","Kerry","Independent","/en/members/member/Danny-Healy-Rae.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Michael Healy-Rae","Kerry","Independent","/en/members/member/Michael-Healy-Rae.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Martin Heydon","Kildare South","Fine Gael","/en/members/member/Martin-Heydon.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Brendan Howlin","Wexford","Labour Party","/en/members/member/Brendan-Howlin.S.1983-02-23/","32nd Dáil","(2016 - 2020)","158",32
"Heather Humphreys","Cavan-Monaghan","Fine Gael","/en/members/member/Heather-Humphreys.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Paul Kehoe","Wexford","Fine Gael","/en/members/member/Paul-Kehoe.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
"Billy Kelleher","Cork North-Central","Fianna Fáil","/en/members/member/Billy-Kelleher.S.1993-02-17/","32nd Dáil","(2016 - 2020)","158",32
"Alan Kelly","Tipperary","Labour Party","/en/members/member/Alan-Kelly.S.2007-07-23/","32nd Dáil","(2016 - 2020)","158",32
"Enda Kenny","Mayo","Fine Gael","/en/members/member/Enda-Kenny.D.1975-11-12/","32nd Dáil","(2016 - 2020)","158",32
"Gino Kenny","Dublin Mid-West","Solidarity - People Before Profit","/en/members/member/Gino-Kenny.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Martin Kenny","Sligo-Leitrim","Sinn Féin","/en/members/member/Martin-Kenny.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Seán Kyne","Galway West","Fine Gael","/en/members/member/Seán-Kyne.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"John Lahart","Dublin South-West","Fianna Fáil","/en/members/member/John-Lahart.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"James Lawless","Kildare North","Fianna Fáil","/en/members/member/James-Lawless.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Michael Lowry","Tipperary","Independent","/en/members/member/Michael-Lowry.D.1987-03-10/","32nd Dáil","(2016 - 2020)","158",32
"Marc MacSharry","Sligo-Leitrim","Fianna Fáil","/en/members/member/Marc-MacSharry.S.2002-09-12/","32nd Dáil","(2016 - 2020)","158",32
"Josepha Madigan","Dublin Rathdown","Fine Gael","/en/members/member/Josepha-Madigan.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Catherine Martin","Dublin Rathdown","Green Party","/en/members/member/Catherine-Martin.D.2016-10-03/","32nd Dáil","(2016 - 2020)","158",32
"Micheál Martin","Cork South-Central","Fianna Fáil","/en/members/member/Micheál-Martin.D.1989-06-29/","32nd Dáil","(2016 - 2020)","158",32
"Charlie McConalogue","Donegal","Fianna Fáil","/en/members/member/Charlie-McConalogue.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Mary Lou McDonald","Dublin Central","Sinn Féin","/en/members/member/Mary-Lou-McDonald.D.2011-03-09/","32nd Dáil","(2016 - 2020)","158",32
"Helen McEntee","Meath East","Fine Gael","/en/members/member/Helen-McEntee.D.2013-03-27/","32nd Dáil","(2016 - 2020)","158",32
"Finian McGrath","Dublin Bay North","Independent","/en/members/member/Finian-McGrath.D.2002-06-06/","32nd Dáil","(2016 - 2020)","158",32
